Approved Symbol	Approved Name	Aliases	Entrez Gene ID (mapped data supplied by NCBI)	Ensembl ID (mapped data supplied by Ensembl)
ARHGAP32	Rho GTPase activating protein 32	GRIT, KIAA0712, MGC1892, RICS, GC-GAP	9743	ENSG00000134909
NPIPL1	nuclear pore complex interacting protein-like 1	LOC440350	440350	ENSG00000233232
TRIM60P2Y	tripartite motif containing 60 pseudogene 2, Y-linked	TRIM60P2	100420363	
BRSK1	BR serine/threonine kinase 1	KIAA1811	84446	ENSG00000160469
TAS2R1	taste receptor, type 2, member 1	T2R1, TRB7	50834	ENSG00000169777
DYX1C1	dyslexia susceptibility 1 candidate 1	EKN1, FLJ37882	161582	ENSG00000256061
C7orf71	chromosome 7 open reading frame 71		285941	ENSG00000222004
RBPJ	recombination signal binding protein for immunoglobulin kappa J region	SUH, IGKJRB, RBPJK, KBF2, RBP-J, CBF1	3516	ENSG00000168214
TMTC2	transmembrane and tetratricopeptide repeat containing 2	DKFZp762A217	160335	ENSG00000179104
KRT8P28	keratin 8 pseudogene 28		391099	ENSG00000223810
BCRP5	breakpoint cluster region pseudogene 5		648980	ENSG00000235062
STOML3	stomatin (EPB72)-like 3	SRO, Epb7.2l	161003	ENSG00000133115
BTF3	basic transcription factor 3	BTF3a, BTF3b	689	ENSG00000145741
DISC1-IT1	DISC1 intronic transcript 1 (non-protein coding)			ENSG00000226758
ASD1	atrial septal defect 1		431	
LIPH	lipase, member H	mPA-PLA1, PLA1B	200879	ENSG00000163898
MTHSP1	mitochondrially encoded major H-strand promoter			
TCHH	trichohyalin		7062	ENSG00000159450
ZFP106	zinc finger protein 106 homolog (mouse)	ZNF474	64397	ENSG00000103994
EEF1A2	eukaryotic translation elongation factor 1 alpha 2	EEF1AL, HS1	1917	ENSG00000101210
DPRXP4	divergent-paired related homeobox pseudogene 4		503645	
S100A8	S100 calcium binding protein A8	P8, MRP8, 60B8AG, CGLA	6279	ENSG00000143546
SNX18P15	sorting nexin 18 pseudogene 15		100419019	ENSG00000225015
FRMD4A	FERM domain containing 4A	FLJ10210, KIAA1294, bA295P9.4	55691	ENSG00000151474
C6orf191	chromosome 6 open reading frame 191	bA174C7.4	253582	ENSG00000203756
RN5S92	RNA, 5S ribosomal 92			
BLM	Bloom syndrome, RecQ helicase-like	BS, RECQL3, RECQ2	641	ENSG00000197299
MIR718	microRNA 718	hsa-mir-718	100313781	ENSG00000211524
YAP1	Yes-associated protein 1	YAP65	10413	ENSG00000137693
ACOT4	acyl-CoA thioesterase 4	FLJ31235, PTE-Ib, PTE2B	122970	ENSG00000177465
IFNA1	interferon, alpha 1	IFNA@, IFL, IFN, IFN-ALPHA, IFNA13, IFN-alphaD	3439	ENSG00000197919
TXNDC17	thioredoxin domain containing 17	MGC14353, TRP14	84817	ENSG00000129235
KAL1	Kallmann syndrome 1 sequence	KALIG-1	3730	ENSG00000011201
KIRREL-IT1	KIRREL intronic transcript 1 (non-protein coding)		100505785	ENSG00000226520
RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	CDR, ETO, MTG8, ZMYND2	862	ENSG00000079102
SPIN2A	spindlin family, member 2A	DXF34	54466	ENSG00000147059
HTR4	5-hydroxytryptamine (serotonin) receptor 4	5-HT4	3360	ENSG00000164270
FMR1	fragile X mental retardation 1	FMRP, FRAXA, MGC87458	2332	ENSG00000102081
MIR676	microRNA 676	hsa-mir-676	100500887	
FAM132B	family with sequence similarity 132, member B	FLJ37034	151176	ENSG00000178752
LRIG2	leucine-rich repeats and immunoglobulin-like domains 2	KIAA0806	9860	ENSG00000198799
PIN4	protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)	PAR14, PAR17, EPVH	5303	ENSG00000102309
DYX5	dyslexia susceptibility 5		171089	
CCT5P2	chaperonin containing TCP1, subunit 5 (epsilon) pseudogene 2		390415	ENSG00000230584
GRIK1	glutamate receptor, ionotropic, kainate 1		2897	ENSG00000171189
PIRC103	piwi-interacting RNA cluster 103		100313901	
GPR89C	G protein-coupled receptor 89C		728932	ENSG00000196644
FAM47A	family with sequence similarity 47, member A	MGC27003	158724	ENSG00000185448
FAM93B	family with sequence similarity 93, member B		619342	
DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta		1789	ENSG00000088305
RPS26P33	ribosomal protein S26 pseudogene 33		100271239	
DYNC1H1	dynein, cytoplasmic 1, heavy chain 1	Dnchc1, HL-3, p22, DHC1	1778	ENSG00000197102
RWDD4	RWD domain containing 4	MGC10198	201965	ENSG00000182552
RPS20P16	ribosomal protein S20 pseudogene 16		100271086	
SCA34	spinocerebellar ataxia 34		100750330	
ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	AC, PHP32, FLJ21558	427	ENSG00000104763
OR10U1P	olfactory receptor, family 10, subfamily U, member 1 pseudogene		390318	ENSG00000227423
ELMOD2	ELMO/CED-12 domain containing 2	MGC10084	255520	ENSG00000179387
MIR3908	microRNA 3908	hsa-mir-3908	100500909	
RBBP6	retinoblastoma binding protein 6	P2P-R, PACT, SNAMA	5930	ENSG00000122257
TSPEAR-AS1	TSPEAR antisense RNA 1 (non-protein coding)			ENSG00000235890
MBL1P	mannose-binding lectin (protein A) 1, pseudogene	COLEC3P	8512	ENSG00000242600
ZNF547	zinc finger protein 547	FLJ31100	284306	ENSG00000152433
RNASE6	ribonuclease, RNase A family, k6		6039	ENSG00000169413
GPR137B	G protein-coupled receptor 137B		7107	ENSG00000077585
TMEM161A	transmembrane protein 161A	FLJ39645, FLJ20422	54929	ENSG00000064545
PARVB	parvin, beta	CGI-56	29780	ENSG00000188677
IGFBP7	insulin-like growth factor binding protein 7	MAC25, IGFBP-7, PSF, FSTL2	3490	ENSG00000163453
CRYZP1	crystallin, zeta (quinone reductase) pseudogene 1		1430	
RSPH1	radial spoke head 1 homolog (Chlamydomonas)	FLJ32753, RSP44, RSPH10A	89765	ENSG00000160188
PCBP3-OT1	PCBP3 overlapping transcript (non-protein coding)	FLJ44028	100113383	
BST1	bone marrow stromal cell antigen 1	CD157	683	ENSG00000109743
C21orf71	chromosome 21 open reading frame 71	PRED21	282566	
STK32A	serine/threonine kinase 32A	MGC22688, YANK1	202374	ENSG00000169302
HCFC1-AS1	HCFC1 antisense RNA 1 (non-protein coding)			ENSG00000235802
IGHV1OR15-2	immunoglobulin heavy variable 1/OR15-2 (pseudogene)	IGHV1/OR15-2	100287128	
ZNF598	zinc finger protein 598	FLJ00086	90850	ENSG00000167962
RPL37P10	ribosomal protein L37 pseudogene 10		100271015	
MAGEA8	melanoma antigen family A, 8	MGC2182, CT1.8	4107	ENSG00000156009
AMD1	adenosylmethionine decarboxylase 1	SAMDC	262	ENSG00000123505
UBTD1	ubiquitin domain containing 1	FLJ11807	80019	ENSG00000165886
SCGN	secretagogin, EF-hand calcium binding protein	SECRET, DJ501N12.8, SEGN, CALBL	10590	ENSG00000079689
CTD	Coats disease		1283	
RNU7-79P	RNA, U7 small nuclear 79 pseudogene	U7.79	100151676	ENSG00000251891
ARSG	arylsulfatase G	KIAA1001	22901	ENSG00000141337
MIR514B	microRNA 514b	hsa-mir-514b	100422847	ENSG00000252583
PDRG1	p53 and DNA-damage regulated 1	dJ310O13.3	81572	ENSG00000088356
MYNN	myoneurin	SBBIZ1, ZBTB31, ZNF902	55892	ENSG00000085274
FGF9	fibroblast growth factor 9 (glia-activating factor)		2254	ENSG00000102678
STRBP	spermatid perinuclear RNA binding protein	FLJ11307, SPNR	55342	ENSG00000165209
TRNAV28	transfer RNA valine 28 (anticodon CAC)		100189368	
ZFP36	zinc finger protein 36, C3H type, homolog (mouse)	RNF162A, TIS11, G0S24, TTP, NUP475	7538	ENSG00000128016
UROD	uroporphyrinogen decarboxylase		7389	ENSG00000126088
SEMA4G	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	FLJ20590, KIAA1619	57715	ENSG00000095539
WWOX	WW domain containing oxidoreductase	FOR, WOX1, SDR41C1	51741	ENSG00000186153
DDX56	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56	NOH61	54606	ENSG00000136271
ZNF454	zinc finger protein 454	FLJ37444	285676	ENSG00000178187
SLC27A3	solute carrier family 27 (fatty acid transporter), member 3	FATP3, MGC4365, ACSVL3	11000	ENSG00000143554
RGP1	RGP1 retrograde golgi transport homolog (S. cerevisiae)		9827	ENSG00000107185
VPS11	vacuolar protein sorting 11 homolog (S. cerevisiae)	RNF108, PEP5	55823	ENSG00000160695
EEF1B2	eukaryotic translation elongation factor 1 beta 2		1933	ENSG00000114942
MBOAT7	membrane bound O-acyltransferase domain containing 7	BB1, hMBOA-7, LPIAT	79143	ENSG00000125505
ITGB1BP3	integrin beta 1 binding protein 3	MIBP, NRK2	27231	ENSG00000077009
PIK3CB	phosphoinositide-3-kinase, catalytic, beta polypeptide		5291	ENSG00000051382
NKD1	naked cuticle homolog 1 (Drosophila)		85407	ENSG00000140807
OR5BC1P	olfactory receptor, family 5, subfamily BC, member 1 pseudogene		81208	
C1orf112	chromosome 1 open reading frame 112	FLJ10706	55732	ENSG00000000460
SNORA16B	small nucleolar RNA, H/ACA box 16B	U98b	692157	ENSG00000201544
MIR196A1	microRNA 196a-1	hsa-mir-196-1, hsa-mir-196a-1	406972	ENSG00000210741
TMED2	transmembrane emp24 domain trafficking protein 2	RNP24, P24A	10959	ENSG00000086598
TSNAX	translin-associated factor X	TRAX	7257	ENSG00000116918
C8orf60	chromosome 8 open reading frame 60	FLJ12193	619426	
OR4A4P	olfactory receptor, family 4, subfamily A, member 4 pseudogene		390134	ENSG00000254769
CT47A9	cancer/testis antigen family 47, member A9	CT47.9	728042	ENSG00000226600
GJE1	gap junction protein, epsilon 1, 23kDa	CX23	100126572	ENSG00000203733
ZBTB24	zinc finger and BTB domain containing 24	KIAA0441, BIF1, PATZ2	9841	ENSG00000112365
TRNAK6	transfer RNA lysine 6 (anticodon CUU)		100189013	
AIF1L	allograft inflammatory factor 1-like	IBA2, FLJ12783	83543	ENSG00000126878
HABP4	hyaluronan binding protein 4	IHABP4, SERBP1L	22927	ENSG00000130956
TUBA1A	tubulin, alpha 1a	TUBA3, B-ALPHA-1, FLJ25113	7846	ENSG00000167552
SMCR7	Smith-Magenis syndrome chromosome region, candidate 7	MGC23130, MiD49	125170	ENSG00000177427
POU5F1P5	POU class 5 homeobox 1 pseudogene 5		100009667	ENSG00000236375
RPS12P21	ribosomal protein S12 pseudogene 21		100271550	ENSG00000243930
GRSF1	G-rich RNA sequence binding factor 1		2926	ENSG00000132463
TLR2	toll-like receptor 2	TIL4, CD282	7097	ENSG00000137462
INCENP	inner centromere protein antigens 135/155kDa	FLJ31633	3619	ENSG00000149503
FAM102A	family with sequence similarity 102, member A	Eeig1, bA203J24.7	399665	ENSG00000167106
OXCT2P1	3-oxoacid CoA transferase 2 pseudogene 1		192217	ENSG00000237624
OR51H2P	olfactory receptor, family 51, subfamily H, member 2 pseudogene		401664	ENSG00000198217
PRDX1	peroxiredoxin 1	NKEFA	5052	ENSG00000117450
RNY3	RNA, Ro-associated Y3	hY3	6085	ENSG00000202354
MIR3180-2	microRNA 3180-2	hsa-mir-3180-2	100422956	
KIAA0196	KIAA0196		9897	ENSG00000164961
RPP40P1	ribonuclease P/MRP 40kDa subunit pseudogene 1			ENSG00000229310
STK24-AS1	STK24 antisense RNA 1 (non-protein coding)			ENSG00000224418
PHF21B	PHD finger protein 21B	BHC80L, FLJ34161	112885	ENSG00000056487
FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	CD32, CD32B	2213	ENSG00000072694
RPL29P30	ribosomal protein L29 pseudogene 30		729611	
HMGN2P32	high mobility group nucleosomal binding domain 2 pseudogene 32			ENSG00000213558
SAMD12-AS1	SAMD12 antisense RNA 1 (non-protein coding)		552860	
RBMX2	RNA binding motif protein, X-linked 2	CGI-79	51634	ENSG00000134597
GCNT1P2	glucosaminyl (N-acetyl) transferase 1, core 2 pseudogene 2		100421560	ENSG00000249206
CATSPER4	cation channel, sperm associated 4		378807	ENSG00000188782
APC2	adenomatosis polyposis coli 2	APCL	10297	ENSG00000115266
CCDC142	coiled-coil domain containing 142	FLJ14397	84865	ENSG00000135637
EMID2	EMI domain containing 2	Emu2, EMI6	136227	ENSG00000160963
C2orf53	chromosome 2 open reading frame 53	MGC44505	339779	ENSG00000186143
MTND6P9	MT-ND6 pseudogene 9			ENSG00000233248
ARL2BPP10	ADP-ribosylation factor-like 2 binding protein pseudogene 10			ENSG00000225225
TACC2	transforming, acidic coiled-coil containing protein 2	AZU-1	10579	ENSG00000138162
WDR43	WD repeat domain 43	KIAA0007, NET12, UTP5	23160	ENSG00000163811
RPS14P9	ribosomal protein S14 pseudogene 9		644119	
RPL21P90	ribosomal protein L21 pseudogene 90		100271423	
OR2BH1P	olfactory receptor, family 2, subfamily BH, member 1 pseudogene		403238	
RPL21P38	ribosomal protein L21 pseudogene 38		100131481	
LINC00263	long intergenic non-protein coding RNA 263	bA34D15.5, FLJ12974	90271	ENSG00000235823
ST13P3	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 3	FAM10A3P	144638	ENSG00000257773
KRTAP5-9	keratin associated protein 5-9	KRTAP5.9, KRTAP5-1	3846	ENSG00000254997
MIR2052	microRNA 2052	hsa-mir-2052	100302260	
ATG9B	ATG9 autophagy related 9 homolog B (S. cerevisiae)	FLJ14885, APG9L2, SONE	285973	ENSG00000181652
POP7	processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)	RPP20, RPP2	10248	ENSG00000172336
ZNF587	zinc finger protein 587	ZF6, FLJ14710, UBF-fl, FLJ20813	84914	ENSG00000198466
UHRF2	ubiquitin-like with PHD and ring finger domains 2	RNF107, NIRF, URF2, MGC33463	115426	ENSG00000147854
UMODL1	uromodulin-like 1		89766	ENSG00000177398
CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10	N27C7-4	400916	ENSG00000250479
C17orf74	chromosome 17 open reading frame 74		201243	ENSG00000184560
HLFP1	hepatic leukemia factor pseudogene 1			ENSG00000218194
NMS	neuromedin S		129521	ENSG00000204640
VPS4A	vacuolar protein sorting 4 homolog A (S. cerevisiae)	VPS4, VPS4-1, FLJ22197, SKD2, SKD1, SKD1A	27183	ENSG00000132612
PHBP5	prohibitin pseudogene 5			ENSG00000233523
TSPY13P	testis specific protein, Y-linked 13, pseudogene		378001	ENSG00000187657
UBC	ubiquitin C		7316	ENSG00000150991
LILRB5	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	LIR-8, LIR8, CD85c	10990	ENSG00000105609
POLRMT	polymerase (RNA) mitochondrial (DNA directed)	h-mtRPOL, APOLMT, MTRNAP, MTRPOL	5442	ENSG00000099821
IL13	interleukin 13	P600, IL-13, ALRH, BHR1, MGC116786, MGC116788, MGC116789	3596	ENSG00000169194
C14orf93	chromosome 14 open reading frame 93	FLJ12154	60686	ENSG00000100802
SHE	Src homology 2 domain containing E		126669	ENSG00000169291
CTHRC1	collagen triple helix repeat containing 1		115908	ENSG00000164932
ST13P5	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 5		144106	ENSG00000212789
TTTY2B	testis-specific transcript, Y-linked 2B (non-protein coding)		100101117	ENSG00000212856
SPANXN1	SPANX family, member N1	SPANX-N1, CT11.6	494118	ENSG00000203923
SPA17	sperm autoantigenic protein 17	SP17, CT22	53340	ENSG00000064199
RPL29P18	ribosomal protein L29 pseudogene 18		644103	
ATP5A1P7	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1 pseudogene 7		442415	ENSG00000225186
ZNF304	zinc finger protein 304		57343	ENSG00000131845
OR4H6P	olfactory receptor, family 4, subfamily H, member 6 pseudogene	OR15-71, OR4H6, OR15-82, OR4H9, OR5-39, OR5-84, OR4-114, OR4-115, OR4-119, OR15-69, OR15-80, OR15-81, OR14-58	26322	
FAM113B	family with sequence similarity 113, member B	MGC16044	91523	ENSG00000179715
DDTL	D-dopachrome tautomerase-like		100037417	ENSG00000099974
C1orf200	chromosome 1 open reading frame 200		644997	ENSG00000179840
H1FX	H1 histone family, member X	MGC15959, MGC8350, H1X	8971	ENSG00000184897
ATP1A4	ATPase, Na+/K+ transporting, alpha 4 polypeptide		480	ENSG00000132681
AIRN	antisense of IGF2R RNA (non-protein coding)	AIR, NCRNA00088, IGF2RAS, IGF2R-AS1	100271873	
ETM2	essential tremor 2	ETM	2112	
UNG	uracil-DNA glycosylase	UDG, UNG1, UNG2, HIGM4	7374	ENSG00000076248
ZBTB41	zinc finger and BTB domain containing 41	FRBZ1, FLJ36199, DKFZp686C06120, ZNF924	360023	ENSG00000177888
SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	PAT4, FLJ38932	120103	ENSG00000180773
TRNAQ17	transfer RNA glutamine 17 (anticodon CUG)		100189214	
IL9RP3	interleukin 9 receptor pseudogene 3		729486	ENSG00000226942
B4GALT3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	beta4Gal-T3	8703	ENSG00000158850
SLMO2	slowmo homolog 2 (Drosophila)	dJ543J19.5, PRELID3B	51012	ENSG00000101166
DFNB69	deafness, autosomal recessive 69		751783	
WHAMMP3	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 3		339005	
TCTA	T-cell leukemia translocation altered gene		6988	ENSG00000145022
ATP1A1OS	ATP1A1 opposite strand	MGC16179	84852	ENSG00000203865
ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	CD49b	3673	ENSG00000164171
DRD3	dopamine receptor D3		1814	ENSG00000151577
DMKN	dermokine	ZD52F10	93099	ENSG00000161249
N4BP2L1	NEDD4 binding protein 2-like 1	CG018	90634	ENSG00000139597
BCORP1	BCL6 corepressor pseudogene 1	FLJ39821	286554	ENSG00000215580
SNORD115-15	small nucleolar RNA, C/D box 115-15	HBII-52-15	100033453	ENSG00000201679
PIRC106	piwi-interacting RNA cluster 106		100313877	
SULT1A4	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4		445329	ENSG00000213648
ZNF595	zinc finger protein 595	FLJ31740	152687	ENSG00000197701
RMD1	rippling muscle disease 1		6022	
LINC00500	long intergenic non-protein coding RNA 500			
NRTN	neurturin	NTN	4902	ENSG00000171119
LRRC6	leucine rich repeat containing 6	TSLRP, LRTP	23639	ENSG00000129295
PALM	paralemmin	KIAA0270	5064	ENSG00000099864
ERCC8	excision repair cross-complementing rodent repair deficiency, complementation group 8	CSA	1161	ENSG00000049167
OGFOD1	2-oxoglutarate and iron-dependent oxygenase domain containing 1	KIAA1612, FLJ10826, TPA1	55239	ENSG00000087263
PPP2R2B-IT1	PPP2R2B intronic transcript 1 (non-protein coding)			
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	AP-2	7020	ENSG00000137203
GGT7	gamma-glutamyltransferase 7	D20S101, dJ18C9.2	2686	ENSG00000131067
TRIM31	tripartite motif containing 31	RNF, HCGI, C6orf13, HCG1	11074	
MIR4725	microRNA 4725	hsa-mir-4725	100616449	
BTF3P10	basic transcription factor 3 pseudogene 10			ENSG00000231120
FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide		2207	ENSG00000158869
PRSS16	protease, serine, 16 (thymus)	TSSP	10279	ENSG00000112812
DGKZP1	diacylglycerol kinase, zeta pseudogene 1		400126	ENSG00000179611
PAQR5	progestin and adipoQ receptor family member V	FLJ20190, MPRG	54852	ENSG00000137819
RPL36AP27	ribosomal protein L36a pseudogene 27		100128072	
STIM1	stromal interaction molecule 1	GOK, D11S4896E	6786	ENSG00000167323
C6orf130	chromosome 6 open reading frame 130	MGC19570, dJ34B21.3	221443	ENSG00000124596
MORN5	MORN repeat containing 5	FLJ46909	254956	ENSG00000185681
ARHGEF26	Rho guanine nucleotide exchange factor (GEF) 26	DKFZP434D146, SGEF	26084	ENSG00000114790
AFTPH	aftiphilin	MGC33965, FLJ20080, FLJ23793, Nbla10388	54812	ENSG00000119844
MIR1914	microRNA 1914	hsa-mir-1914	100302137	ENSG00000223010
ZNF556	zinc finger protein 556	FLJ11637	80032	ENSG00000172000
PTMAP4	prothymosin, alpha pseudogene 4 (gene sequence 112)		5761	
FOXP1	forkhead box P1	QRF1, 12CC4, HSPC215, hFKH1B	27086	ENSG00000114861
PGAP1	post-GPI attachment to proteins 1	FLJ12377, Bst1	80055	ENSG00000197121
UBQLN4P2	ubiquilin 4 pseudogene 2		100131393	ENSG00000226213
CTGF	connective tissue growth factor	IGFBP8, CCN2	1490	ENSG00000118523
PCDHB6	protocadherin beta 6	PCDH-BETA6	56130	ENSG00000113211
SLC32A1	solute carrier family 32 (GABA vesicular transporter), member 1	VGAT, bA122O1.1	140679	ENSG00000101438
TMEM105	transmembrane protein 105	FLJ38792	284186	ENSG00000185332
ANKK1	ankyrin repeat and kinase domain containing 1	X-kinase	255239	ENSG00000170209
GPRASP1	G protein-coupled receptor associated sorting protein 1	GASP	9737	ENSG00000198932
PMS2P2	postmeiotic segregation increased 2 pseudogene 2	PMS4	5380	ENSG00000174368
C2orf27AP1	chromosome 2 open reading frame 27A pseudogene 1		100420811	
FTSJ1	FtsJ homolog 1 (E. coli)	JM23, CDLIV, SPB1, TRM7	24140	ENSG00000068438
SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	TAUT	6533	ENSG00000131389
OR5B1P	olfactory receptor, family 5, subfamily B, member 1 pseudogene	OR8-122, OR8-123, OR6-57, OR6-55, OR3-144, OR912-92	401692	ENSG00000233499
WIF1	WNT inhibitory factor 1		11197	ENSG00000156076
MIR7-3	microRNA 7-3	hsa-mir-7-3	407045	ENSG00000207630
RPL22P12	ribosomal protein L22 pseudogene 12		727747	
PIRC68	piwi-interacting RNA cluster 68		100313931	
RPL13AP25	ribosomal protein L13a pseudogene 25		100287887	ENSG00000136149
KPNA3-IT1	KPNA3 intronic transcript 1 (non-protein coding)			ENSG00000224798
RPL26P4	ribosomal protein L26 pseudogene 4		283603	
DYX1	dyslexia susceptibility 1	RD	1867	
TRMT1L	TRM1 tRNA methyltransferase 1-like		81627	ENSG00000121486
MAPK7	mitogen-activated protein kinase 7	BMK1, ERK5	5598	ENSG00000166484
GUSBP12	glucuronidase, beta pseudogene 12		642007	ENSG00000169325
MIR4254	microRNA 4254	hsa-mir-4254	100423028	
CDT1	chromatin licensing and DNA replication factor 1	DUP, RIS2	81620	ENSG00000167513
MIR34C	microRNA 34c	hsa-mir-34c	407042	ENSG00000207562
MIR1468	microRNA 1468	hsa-mir-1468	100302115	ENSG00000222532
RPS15AP16	ribosomal protein S15a pseudogene 16		100271358	ENSG00000239483
MFAP2	microfibrillar-associated protein 2	MAGP, MAGP-1	4237	ENSG00000117122
TRNAL11	transfer RNA leucine 11 (anticodon CAG)		100189089	
TMEM207	transmembrane protein 207		131920	ENSG00000198398
DDX11L9	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 like 9		100288486	ENSG00000248472
MIR378E	microRNA 378e	hsa-mir-378e	100616498	
CELSR3	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)	MEGF2, HFMI1, FMI1, CDHF11	1951	ENSG00000008300
